Year	Police Department	Officers per 10K Population	Officers	Total Employees per 10K Population	Total Employees	
2016	"Mount Laurel Township, New Jersey"	14.6	61	16.5	69	
2016	"Montclair, California"	12	47	17.4	68	
2016	"Kent, Ohio"	14	42	18.7	56	
2016	"St. Paul, Minnesota"	20.6	627	26.2	796	
2016	"Lewiston, Maine"	22.1	80	25.2	91	
2016	"Gloucester Township, New Jersey"	19.7	125	23.2	147	
2016	"Fuquay-Varina, North Carolina"	15.1	38	17.4	44	
2016	"Jeffersontown, Kentucky"	18.1	49	21.8	59	
2016	"Murfreesboro, Tennessee"	16.8	218	20.6	267	
2016	"Roanoke, Virginia"	24.5	245	29.2	292	
2016	"Westfield, Indiana"	11.8	45	13.1	50	
2016	"Westport, Connecticut"	22	62	26.6	75	
2016	"Concord, New Hampshire"	18.3	78	20.9	89	
2016	"Bryan, Texas"	16.9	141	21.4	178	
2016	"Springville, Utah"	7.6	25	10.7	35	
2016	"DeSoto, Texas"	12.2	65	22.6	120	
2016	"New Brunswick, New Jersey"	25.2	144	31.3	179	
2016	"Lauderhill, Florida"	13.5	98	17	123	
2016	"Rockford, Illinois"	19.5	288	21.9	323	
2016	"Troy, Ohio"	16.3	42	17.1	44	
2016	"Rochester, New York"	35.6	747	41.2	864	
2016	"Goodyear, Arizona"	11.7	96	16.1	132	
2016	"Bella Vista, Arkansas"	9.5	27	14.1	40	
2016	"Kent, Washington"	10.8	139	14.6	188	
2016	"Jackson, Mississippi"	24	409	37.7	641	
2016	"San Pablo, California"	15	46	21.8	67	
2016	"Englewood, Colorado"	21.1	71	29.7	100	
2016	"Binghamton, New York"	28.6	131	31.7	145	
2016	"Farmington, New Mexico"	31	131	40	169	
2016	"Culver City, California"	25.1	100	38.4	153	
2016	"Greenwood, Indiana"	10.3	58	11.7	66	
2016	"Stafford Township, New Jersey"	18.9	51	26.3	71	
2016	"Moon Township, Pennsylvania"	10.8	28	13.2	34	
2016	"Clovis, New Mexico"	13.6	54	19.9	79	
2016	"San Bruno, California"	11.2	49	14.9	65	
2016	"Philadelphia, Pennsylvania"	40.2	"6,313"	50.9	"7,995"	
2016	"Wichita, Kansas"	15.6	612	20.3	794	
2016	"Aberdeen, South Dakota"	15.8	45	18.9	54	
2016	"El Mirage, Arizona"	11.6	40	15.7	54	
2016	"Sioux City, Iowa"	15.1	125	18.1	150	
2016	"Johnston, Rhode Island"	22.8	67	27.3	80	
2016	"Marlboro Township, New Jersey"	17.9	73	25.3	103	
2016	"Tualatin, Oregon"	13.5	37	16.4	45	
2016	"East Providence, Rhode Island"	19.4	92	23.4	111	
2016	"West Springfield, Massachusetts"	29.3	84	32.4	93	
2016	"Webster Town and Village, New York"	7.2	32	8.1	36	
2016	"Xenia, Ohio"	15.7	41	25.7	67	
2016	"Huntington Beach, California"	10.5	214	16.4	334	
2016	"Lemoore, California"	12	31	14.7	38	
2016	"University Place, Washington"	4.5	15	4.8	16	
2016	"Athens-Clarke County, Georgia"	18.4	228	23.6	292	
2016	"Layton, Utah"	9.9	75	14.2	107	
2016	"Lehi, Utah"	7.7	47	8.7	53	
2016	"Spring Township, Berks County, Pennsylvania"	10.5	29	10.9	30	
2016	"San Luis, Arizona"	10.9	35	16.8	54	
2016	"Boston, Massachusetts"	31.5	"2,125"	39.7	"2,678"	
2016	"Smyrna, Tennessee"	16	77	20.8	100	
2016	"Sachse, Texas"	11	28	16.5	42	
2016	"Des Moines, Washington"	10.2	32	13.6	43	
2016	"Manitowoc, Wisconsin"	19.2	63	22.2	73	
2016	"Meridian Township, Michigan"	9.1	39	10.3	44	
2016	"Lawton, Oklahoma"	17.3	167	24.4	235	
2016	"San Gabriel, California"	12.1	49	15.8	64	
2016	"Shoreline, Washington"	9.5	53	13.1	73	
2016	"La Verne, California"	12.1	40	18.2	60	
2016	"Middletown, Ohio"	13.9	68	21.1	103	
2016	"Jackson, Michigan"	13.9	46	17.5	58	
2016	"Green Bay, Wisconsin"	17.9	189	21.6	228	
2016	"Parker, Colorado"	14.3	72	22.4	113	
2016	"Anchorage, Alaska"	11.9	356	16.6	497	
2016	"Randolph, Massachusetts"	17.5	59	18	61	
2016	"Grand Island, Nebraska"	16.4	85	19.6	102	
2016	"O'Fallon, Missouri"	13.6	117	17.5	151	
2016	"Stockton, California"	13.4	412	19.8	610	
2016	"Norwood, Massachusetts"	19.6	57	23.4	68	
2016	"Alabaster, Alabama"	18.5	61	24.2	80	
2016	"Benton, Arkansas"	18.3	64	25.8	90	
2016	"Pacifica, California"	8.3	33	8.8	35	
2016	"Orange, New Jersey"	31.8	97	38.7	118	
2016	"Lee's Summit, Missouri"	14.5	139	20.1	193	
2016	"Temple Terrace, Florida"	19.3	50	25.4	66	
2016	"Derry Township, Dauphin County, Pennsylvania"	15.6	39	23.2	58	
2016	"Frisco, Texas"	10.2	166	15.2	247	
2016	"St. Louis Park, Minnesota"	10.9	53	13.7	67	
2016	"Chattanooga, Tennessee"	24.4	434	29.4	523	
2016	"Greer, South Carolina"	18.7	54	24.9	72	
2016	"Trumbull, Connecticut"	20.4	75	23.4	86	
2016	"Palm Springs, California"	18.4	88	26.5	127	
2016	"Peabody, Massachusetts"	17.5	92	21.1	111	
2016	"Savage, Minnesota"	10.3	32	12.9	40	
2016	"Fairfield, Ohio"	14.2	61	18.5	79	
2016	"Duluth, Georgia"	26.2	78	31.3	93	
2016	"Raleigh, North Carolina"	15.8	729	19	875	
2016	"Rocky Mount, North Carolina"	28.9	160	36.4	202	
2016	"Vacaville, California"	10.1	99	15.4	150	
2016	"Joliet, Illinois"	17.8	263	22.3	330	
